,bloque,grupo_corr,adf_pvalue,estacionaria,mi,mi_n_obs,granger_p,granger_p_fdr,granger_signif,lasso_abs,perm_imp,r_mi,r_lasso,r_perm,voto_granger,voto_mi,voto_lasso,voto_perm,votos,score
volumen_util_pct_emb_lag30,HIDRO,84,0.0003791207074467595,True,0.495193081845946,1796,0.004597449103873841,0.011744743929223929,True,0.0,2.0649301101860474e-05,0.5756578947368421,0.4471947194719472,0.7392739273927392,1,0,0,1,2,0.5873755138671762
disp_comercial_lag7,OFERTA,65,0.08828200226844457,False,0.3787516099849455,1819,4.1641328767587884e-07,1.8084234207638168e-06,True,0.0,3.408546424916725e-05,0.5032894736842105,0.4471947194719472,0.7986798679867987,1,0,0,1,2,0.5830546870476522
restricciones_lag30,EXPOST,81,0.06740898040227981,False,0.32103597523638694,1796,0.014725613455116996,0.03365854504026742,True,0.0,4.392051198495173e-05,0.46710526315789475,0.4471947194719472,0.8217821782178217,1,0,0,1,2,0.5786940536158879
demanda_no_regulada_lag1,DEMANDA,115,2.761533555166244e-07,True,0.1009716910270777,1825,3.0897017212706625e-27,3.029901042794456e-26,True,0.00026711816791265936,4.135339797128879e-06,0.1611842105263158,0.900990099009901,0.6600660066006601,1,0,1,0,2,0.5740801053789589
demanda_por_or_lag2,DEMANDA,105,0.0004919894932095677,True,0.14818341895290033,1824,6.953026939883049e-32,1.4091467931496313e-30,True,0.0,0.00019931134861664868,0.2532894736842105,0.4471947194719472,0.976897689768977,1,0,0,1,2,0.5591272943083783
compras_contrato_lag1,CONTRATOS,126,0.2460314540369115,False,0.23565426164821712,1825,8.458724024972273e-33,2.8571690039906346e-31,True,0.0,8.027550306799469e-05,0.33881578947368424,0.4471947194719472,0.8877887788778878,1,0,0,1,2,0.5579330959411731
aportes_pct_sistema_lag3,HIDRO,33,2.5608570149414296e-07,True,0.2573662777939614,1823,0.02029791197163768,0.04471424086505691,True,0.0,3.637716512292499e-05,0.3848684210526316,0.4471947194719472,0.8118811881188119,1,0,0,1,2,0.5479814428811303
consumo_combustible_lag14,EXPOST,74,0.21008304774069853,False,0.620561081298844,1812,4.612590252683831e-10,2.696591224645932e-09,True,0.0009931138218217468,-0.0006325656266465529,0.6875,0.9141914191419142,0.0165016501650165,1,0,1,0,2,0.539397689768977
gen_seguridad_lag7,EXPOST,11,2.726580796881809e-09,True,0.12685866949623925,1819,0.0122254888478934,0.028810454339221653,True,0.0,0.00014037181647023056,0.21052631578947367,0.4471947194719472,0.9537953795379538,1,0,0,1,2,0.5371721382664583
cere_lag7,REGULATORIO,56,0.10263895893264752,False,1.0753815437742968,1819,0.035027129377959064,0.07146474718724534,True,0.0,-4.5531239745588706e-05,0.9769736842105263,0.4471947194719472,0.1848184818481848,1,1,0,0,2,0.5363289618435528
perdidas_energia_lag3,EXPOST,17,2.148854851864135e-13,True,0.10492273030748223,1823,0.01713998738951382,0.03859671234379408,True,0.0,0.00014804053640955496,0.17105263157894737,0.4471947194719472,0.9603960396039604,1,0,0,1,2,0.5262144635516183
demanda_no_regulada_lag30,DEMANDA,103,1.2950076999383276e-06,True,0.08896077660438628,1796,1.4336392817261185e-36,2.71811166176176e-34,True,0.0,0.00021419187767246495,0.13486842105263158,0.4471947194719472,0.9801980198019802,1,0,0,1,2,0.520753720108853
mc_d7,REGULATORIO,133,4.158081663108591e-09,True,0.2763797982494651,1818,0.035606017601657665,0.07216152900602621,True,0.0,1.1691857444029451e-05,0.40131578947368424,0.4471947194719472,0.7062706270627063,1,0,0,1,2,0.5182603786694459
compras_contrato_lag14,CONTRATOS,125,0.3736309533938952,False,0.25621373727497687,1812,1.2023500319715566e-32,3.655144097193532e-31,True,0.0043161839548595945,-4.5191441584691015e-05,0.3815789473684211,0.9537953795379538,0.18811881188118812,1,0,1,0,2,0.507831046262521
