,bloque,grupo_corr,adf_pvalue,estacionaria,mi,mi_n_obs,granger_p,granger_p_fdr,granger_signif,lasso_abs,perm_imp,r_mi,r_lasso,r_perm,voto_granger,voto_mi,voto_lasso,voto_perm,votos,score
perdidas_energia_lag7,EXPOST,18,2.1155544183708064e-13,True,0.09180141378093865,1819,0.12836235609030028,0.19808201142868673,False,0.0,2.235800708065838e-05,0.13815789473684212,0.4471947194719472,0.7458745874587459,0,0,0,1,1,0.4437424005558451
compras_contrato_d7,CONTRATOS,146,7.932239882943008e-12,True,0.054896096407706985,1818,0.05604072041194256,0.10782518357740846,False,0.0,3.500864202854448e-05,0.07236842105263158,0.4471947194719472,0.8052805280528053,0,0,0,1,1,0.44161455619246137
disp_real_lag2,OFERTA,67,0.025828439121883172,True,0.3695940757463987,1824,0.006687568942829886,0.016528625679839717,True,0.0,-1.7071285866587793e-06,0.4934210526315789,0.4471947194719472,0.3795379537953795,1,0,0,0,1,0.4400512419663019
disp_comercial_lag1,OFERTA,66,0.08776370548702511,False,0.4315913953808259,1825,0.00013841540995365427,0.00046753649584345446,True,0.0,-6.441810947754867e-06,0.5394736842105263,0.4471947194719472,0.32673267326732675,1,0,0,0,1,0.4378003589832668
volumen_util_pct_emb_lag14,HIDRO,85,0.0003334668052848205,True,0.5162707306075247,1812,0.000593578819194167,0.0018227066771214827,True,0.0,-1.481294796333854e-05,0.5855263157894737,0.4471947194719472,0.28052805280528054,1,0,0,0,1,0.4377496960222338
gen_seguridad_lag1,EXPOST,10,1.9290676494458758e-09,True,0.10065809095339695,1825,0.1840185790152949,0.26766338765861075,False,0.0,1.1591566874180614e-05,0.15789473684210525,0.4471947194719472,0.7029702970297029,0,0,0,1,1,0.4360199177812518
disp_real_lag7,OFERTA,65,0.02459040086837932,True,0.38715189224181135,1819,3.7683342516732877e-06,1.507333700669315e-05,True,0.0,-4.966168587683395e-06,0.5131578947368421,0.4471947194719472,0.3465346534653465,1,0,0,0,1,0.43562908922471194
disp_declarada_lag14,OFERTA,69,0.07487183815406565,False,0.3455635878875123,1812,0.006112018354517632,0.015355814708870744,True,0.0,-4.786197791850633e-06,0.48355263157894735,0.4471947194719472,0.34983498349834985,1,0,0,0,1,0.4268607781830815
gen_por_recurso_lag7,EXPOST,94,0.00015372208497243633,True,0.1107747993907946,1819,1.136732526927127e-24,9.873333948167047e-24,True,0.0,2.7703276685775434e-06,0.17434210526315788,0.4471947194719472,0.6468646864686468,1,0,0,0,1,0.42280050373458394
volumen_util_pct_lag7,HIDRO,85,0.0003288362042831543,True,0.5305921317510465,1819,0.011893096297638283,0.028246103706890922,True,0.0,-3.482824087451819e-05,0.6019736842105263,0.4471947194719472,0.21782178217821782,1,0,0,0,1,0.42233006195356376
disp_comercial_lag2,OFERTA,67,0.09428599758092315,False,0.39847829218756114,1824,0.014491068203997232,0.03337336919708453,True,0.0,-1.4584217810709178e-05,0.5197368421052632,0.4471947194719472,0.2838283828382838,1,0,0,0,1,0.4169199814718314
